Threat ID,Domain,STRIDE or abuse class,Threat scenario,Primary impact,Prevent or limit,Detect,Respond or recover,Residual risk owner,Status
TM-TAX-002,Tax Rule Engine,"Elevation and SoD Abuse","Author approves and activates its own rule or profile","Hidden malicious or erroneous statutory change","No self-approval decision-time actor lineage independent quorum and step-up","SoD violation and unusual activation timing","Block decision revoke privilege and independent review","Country Regulatory Authority","MANDATORY_GUARDRAIL"
TM-RET-001,VAT Return,"Tampering and Fraud","Return aggregation excludes or changes eligible transactions","Incorrect payable or refund","Pinned data and rule versions control totals reconciliation and maker-checker submission","Ledger-return mismatch late edits and exception suppression","Stop submission regenerate and open compliance case","Return Domain Owner","OPEN_STATUTORY_RULE_CONFIRMATION"
TM-RET-002,VAT Return,"Replay and Repudiation","Submission is repeated changed after sign-off or lacks authoritative receipt","Duplicate or disputed filing","Idempotent submission explicit intent step-up signed/hash receipt and acknowledgement separation","Duplicate payload status divergence and missing receipt","Pause reconcile with authority and preserve submission timeline","Return and Integration Owners","OPEN_ITAS_CONTRACT"
TM-ACC-001,Accounting,"Tampering","Journal or VAT posting is altered to conceal tax effect","Financial and tax integrity loss","Double-entry invariants closed-period control linked adjustments and immutable fiscal references","Out-of-balance control total and after-close change","Fence posting reverse through approved workflow and reconcile","Accounting Owner","OPEN_CONTROL_IMPLEMENTATION"
TM-PAY-001,Payments and Refunds,"Fraud and Elevation","Creator or reviewer diverts or self-approves a payment/refund","Financial loss and corruption","Payments disabled; future dual approval payee verification thresholds and SoD","Payee change self-approval unusual amount and velocity","Pause payment revoke roles and independent investigation","Finance and Refund Owners","PAYMENTS_DISABLED"
TM-PAY-002,Payments and Refunds,"Information Disclosure","Card or banking secrets enter VAT-MSA logs or storage","Payment-data breach and scope expansion","Hosted tokenized provider future design data minimization redaction and secret scanning","DLP log scan and data-flow discovery","Stop flow rotate/tokenize assess PCI/privacy incident","Payment Security Owner","PAYMENTS_DISABLED"
TM-ITAS-001,ITAS and NamRA Integration,"Spoofing and Tampering","Compromised certificate client or endpoint sends false government messages","Identity or filing integrity loss","Live adapter disabled; future mTLS private-key client allowlist schema signature replay and contract","Certificate endpoint schema replay and receipt anomalies","Kill connector revoke credential reconcile and coordinate authority incident","Integration Owner","LIVE_INTEGRATION_DISABLED"
TM-ITAS-002,ITAS and NamRA Integration,"Denial of Service","Authority outage or throttling causes deadline backlog","Missed statutory actions and duplicate retries","Outbox bounded retry circuit breaker fairness queue and explicit pending status","Dependency SLO backlog age and receipt delay","Degrade queue communicate reconcile and never claim success without receipt","Integration and Operations","OPEN_CONTRACT_AND_CAPACITY"
TM-HR-001,Employee Management,"Elevation of Privilege","Organisation administrator grants protected or broader authority through custom role","Financial or tenant privilege escalation","Grantable catalogue delegated ceilings approval step-up and quarterly review","Denied protected grants excessive access and role churn","Revoke grant invalidate sessions and review affected actions","Organisation Access Owner","MANDATORY_BASELINE"
TM-HR-002,Employee Management,"Repudiation and Race","Offboarded user acts with surviving session API key or task assignment","Unauthorized action after termination","Idempotent urgent revocation decision-time active check and task reassignment","Post-disable decisions credential use and revocation delay","Revoke all authority investigate and preserve historical actor record","Identity and HR Owners","OPEN_SLO_APPROVAL"
TM-ADM-001,Administration,"Elevation and Insider","Super Administrator accesses taxpayer data or disables security evidence","Mass disclosure or concealment","No inherited tax scope separate admin identity JIT PAM evidence separation and approvals","Privileged query control change and evidence gap alerts","Terminate JIT isolate administrator and independent incident","CISO","CRITICAL_RELEASE_BLOCKER"
TM-ADM-002,Administration,"Tampering","Security baseline is weakened through lower-level organisation or country configuration","Broad control bypass","Monotonic policy merge signed profiles invariant floor and fail-closed conflict","Policy diff downgrade and denied merge events","Reject profile keep last approved version and investigate","Security Architecture Owner","MANDATORY_BASELINE"
TM-RPT-001,Reporting and Analytics,"Information Disclosure","Reports counts facets or joins infer another tenant or protected risk data","Privacy breach and investigative compromise","Pre-query authorization masking minimum-group thresholds purpose views and export control","Unusual queries sparse-group access and canary records","Disable view/export preserve query evidence and assess impact","Analytics and Privacy Owners","OPEN_CONTROL_IMPLEMENTATION"
TM-RPT-002,Reporting and Analytics,"Tampering","Dashboard or posture score hides failed critical controls or stale evidence","False assurance and unsafe release","Expose denominator freshness uncertainty and critical failures; read-only evidence source","Evidence freshness mismatch and score reconciliation","Mark score invalid block gate and correct source","CISO and Assurance","OPEN_CONTROL_IMPLEMENTATION"
TM-FIL-001,File Uploads,"Tampering and Malware","Malicious polyglot archive bomb or active document reaches users or processors","Malware compromise or denial","Quarantine size depth type/content validation malware/CDR and non-executable serving","Scan timeout mismatch sandbox and download anomalies","Keep quarantined isolate worker and notify uploader safely","Document Security Owner","OPEN_PLATFORM_DECISION"
TM-FIL-002,File Uploads,"Information Disclosure","Predictable object ID or signed URL exposes another tenant document","Cross-tenant document breach","Opaque identifiers server authorization short signed URL tenant metadata and no public bucket","Denied object access and URL reuse","Revoke link isolate identity and incident assessment","Document and Cloud Owners","CRITICAL_RELEASE_BLOCKER"
TM-API-001,APIs,"Injection and Tampering","SQL command template or parser injection crosses API boundary","Data compromise and code execution","Strict schemas parameterization safe parsers contextual encoding and no tenant code execution","WAF app DB and parser anomalies","Disable route isolate workload rotate affected trust and patch","Application Security","CRITICAL_RELEASE_BLOCKER"
TM-API-002,APIs,"SSRF and Information Disclosure","API causes server to access metadata private service or attacker redirect","Credential theft lateral movement or exfiltration","Approved fetch service egress proxy host IP and redirect validation plus metadata protection","Blocked egress DNS changes and unusual destination","Block request revoke exposed credential isolate workload and hunt","Platform Security","CRITICAL_RELEASE_BLOCKER"
TM-API-003,APIs,"Denial of Service","Expensive query upload export or business flow exhausts service or data tier","National service degradation","Byte depth page time concurrency and tenant/client/business quotas backpressure and shedding","Route cost queue DB pressure and SLO burn","Throttle shed non-critical work and scale within data limits","API and SRE Owners","OPEN_CAPACITY_EVIDENCE"
TM-OFF-001,Offline Synchronisation,"Tampering and Replay","Offline database device clock sequence reservation or batch is altered","False provisional invoices and sync conflict","Offline disabled until approved; encrypted store device keys signed chain reservations and server revalidation","Chain clock device duplicate and reservation anomalies","Quarantine device/batch revoke key and controlled reconciliation","Offline Product and CISO","OFFLINE_NOT_READY"
TM-OFF-002,Offline Synchronisation,"Repudiation","Client claims official certification before durable server receipt","False legal status","Provisional labeling and server-issued immutable receipt only","Receipt absence and UI/API status mismatch","Deny claim reconcile and investigate client behavior","Invoice and Offline Owners","MANDATORY_BASELINE"
TM-CTY-001,Country Compliance,"Tampering","Unsigned expired incompatible or downgraded country pack loads","Systemic legal and tax error","Canonical hash signature compatibility effective dates anti-rollback and readiness gate","Verification failures version regression and unauthorized registry access","Reject pack use last approved bounded version and alert","Country Pack Registry Owner","CRITICAL_COUNTRY_GATE"
TM-CTY-002,Country Compliance,"Information Disclosure","Country residency/profile routing sends data backup telemetry or support access to unapproved region","Unlawful transfer or sovereignty breach","Signed placement policy fail-closed routing covering replicas backups telemetry and support","Region inventory drift and access-location anomaly","Stop route isolate copy preserve evidence and legal/privacy assessment","Privacy and Cloud Owners","CRITICAL_COUNTRY_GATE"
TM-LIC-001,Licensing,"Elevation and Business Abuse","Client hides checks or alters licence/usage state to unlock capability","Unauthorized commercial use and control inconsistency","Server entitlement authority signed transitions atomic reservation and audit","Client/server mismatch quota race and unusual state changes","Deny operation reconcile usage and investigate administrator","Licensing Owner","OPEN_CONTROL_IMPLEMENTATION"
TM-LIC-002,Licensing,"Destructive Business Logic","Expiry or downgrade deletes records or blocks statutory continuity","Data loss and legal non-compliance","Non-destructive state machine read/export/retention and legally required action policy","Record counts denied statutory action and deletion attempt","Restore access within approved scope and open legal/control incident","Licensing Records and Legal","MANDATORY_BASELINE"
TM-SUP-001,Software Supply Chain,"Tampering and Elevation","Malicious dependency build worker or artifact reaches production","Platform compromise at scale","Pinned reviewed dependencies isolated build SBOM provenance signing admission and protected keys","Scan provenance signature build drift and runtime behavior","Halt release revoke signing trust clean rebuild rollback and hunt","DevSecOps and CISO","CRITICAL_RELEASE_BLOCKER"
TM-CLD-001,Cloud and Workloads,"Elevation and Lateral Movement","Compromised workload uses excess identity network or metadata access","Cross-service or data compromise","Workload identity least privilege non-root network/egress policy metadata control and runtime detection","Cloud audit runtime and east-west anomalies","Isolate replace rotate identity and investigate lateral scope","Cloud Security","OPEN_PLATFORM_DECISION"
TM-AUD-001,Audit and Evidence,"Tampering and Repudiation","Actor deletes fabricates or suppresses audit/security events","Loss of accountability and forensic evidence","Append-only remote immutable store separate admin synchronized time and integrity checks","Sequence hash source-volume and ingestion gaps","Switch sink preserve legal hold reconstruct from independent sources and incident","Audit Owner","CRITICAL_RELEASE_BLOCKER"
TM-BAK-001,Backup and Recovery,"Tampering and Denial","Ransomware or destructive administrator deletes or encrypts production and backups","Extended outage and permanent data loss","Independent immutable encrypted copies offline/isolated recovery dual control and restoration tests","Mass delete encryption backup policy and vault access anomalies","Revoke fence enter clean room restore and reconcile","DR Lead and CISO","NOT_READY_REQUIRES_EXERCISE"
TM-PRV-001,Privacy and DLP,"Information Disclosure","Sensitive personal or tax data appears in logs events analytics support bundle or export","Privacy breach and broad replication","Schema minimization redaction classification DLP purpose access and export manifest","Content scanners canary access and unusual volume/destination","Stop flow quarantine export rotate secrets assess notification and correct controls","Privacy and Data Owners","OPEN_LEGAL_AND_CONTROL_IMPLEMENTATION"
TM-INS-001,Insider Risk,"Information Disclosure and Abuse","Authorized employee performs bulk search export or case browsing without purpose","Exfiltration or abuse of office","Least privilege purpose/case scope JIT DLP export approval and monitoring","UEBA bulk query canary and case-less access","Stop export revoke privilege preserve evidence and HR/legal process","CISO and Business Owner","OPEN_CONTROL_IMPLEMENTATION"
TM-FRD-001,Fraud and Cyber Correlation,"Model Abuse","Risk engine score is manipulated leaked biased or treated as final legal decision","Unfair or incorrect enforcement and evasion","Explainable source-linked signals human decision separation model governance and protected factors","Model drift input anomaly override and outcome review","Disable model revert version independent review and appeal","Risk Governance Authority","AI_AND_ADVANCED_MODELS_DISABLED"
TM-AI-001,AI ML,"Prompt Injection and Data Leakage","Future AI consumes malicious content leaks restricted data or invokes unsafe tool","Disclosure or unauthorized action","AI disabled; future isolated model/tool identity data minimization retrieval authorization output validation and human approval","Prompt tool retrieval DLP and model behavior telemetry","Disable model revoke tool access preserve interaction and investigate","AI Governance and CISO","AI_DISABLED"
