Event,Owner,Partition_key,Trigger,Minimum_payload,Consumers,Delivery_and_controls
AuditCaseAssigned,Audit,audit_case_id,Case assignment changes,"audit_case_id,assignee_id,office,assigned_at",Officer portal;Security;Audit,"SoD conflict and purpose checks"
RefundReviewStarted,Refund,refund_claim_id,Refund enters governed review,"refund_claim_id,return_id,risk_lane,started_at",Compliance;Audit;Notification,"restricted factors,human decision"
DocumentUploaded,Document,document_id,Upload accepted into quarantine,"document_id,owner_id,classification,checksum",Malware pipeline;Owning domain;Audit,"opaque reference,no public URL"
SecurityThreatDetected,Security,security_detection_id,Detection crosses triage threshold,"detection_id,type,severity,resource_ref,detected_at",SOC;Incident response;Audit,"restricted,minimized,high-integrity"
IdentityLinked,Identity,user_id,Provider subject linked,"user_id,provider_id,assurance,occurred_at",Taxpayer;Audit;Security,"collision quarantine,no token"
ConsentRevoked,Consent,consent_id,Grant revoked or expires,"consent_id,tenant_id,delegate_id,effective_at",Gateway;Connectors;Audit,"urgent downstream invalidation"
ReturnAcknowledged,Return,vat_return_id,Legal authority confirms status,"vat_return_id,submission_id,status,receipt_hash",Portal;Compliance;Audit,"signed response provenance"
PaymentSettled,Payment,payment_id,External settlement reconciled,"payment_id,refund_claim_id,status,amount,currency",Refund;Accounting;Audit,"idempotent,control totals"
SyncConflictDetected,Offline,sync_id,Offline command conflicts with authority,"sync_id,device_id,resource_id,conflict_type",Portal tasks;Integration ops;Security,"quarantine,both versions retained"
LicensePurchased,Licensing,organisation_id,Approved subscription purchase recorded,"organisation_id,subscription_id,plan_version,occurred_at",Activation;Audit;Commercial,"provider evidence reference only,no card data"
LicenseActivated,Licensing,organisation_id,Verified organisation licence becomes active,"organisation_id,organisation_license_id,plan_version,effective_at",Policy cache;Workspace;Organisation Admin;Audit,"signed authority,ordered per organisation"
LicenseExpired,Licensing,organisation_id,Licence reaches approved expiry transition,"organisation_id,organisation_license_id,effective_at,policy_version",Gateway;Workspace;Integrations;Audit,"records preserved,urgent invalidation"
LicenseSuspended,Licensing,organisation_id,Authorised suspension becomes effective,"organisation_id,organisation_license_id,reason_code,effective_at",Gateway;Identity;Integrations;Security;Audit,"no unsafe commercial detail,urgent invalidation"
LicenseUpgraded,Licensing,organisation_id,Approved plan upgrade becomes effective,"organisation_id,old_plan_version,new_plan_version,effective_at",Policy cache;Workspace;Usage;Audit,"idempotent effective transition"
LicenseDowngraded,Licensing,organisation_id,Approved plan downgrade becomes effective,"organisation_id,old_plan_version,new_plan_version,effective_at",Policy cache;Workspace;Usage;Audit,"no destructive data effect"
OrganisationAdminCreated,Organisation Administration,organisation_id,Primary or delegated admin appointment effective,"organisation_id,user_id,admin_role,scope,effective_at",Identity;Security;Audit,"step-up and approval evidence"
OrganisationAdminChanged,Organisation Administration,organisation_id,Administrator appointment changed or revoked,"organisation_id,appointment_id,change_type,effective_at",Identity;Security;Audit,"urgent invalidation,privileged event"
EmployeeInvited,Organisation Administration,organisation_id,Employee invitation issued,"organisation_id,employee_id,invitation_id,expires_at",Identity;Notification;Audit,"no secret or full personal data"
EmployeeActivated,Organisation Administration,organisation_id,Employee membership activated,"organisation_id,employee_id,user_id,effective_at",Identity;Workspace;Audit,"tenant scoped"
EmployeeSuspended,Organisation Administration,organisation_id,Employee access suspended,"organisation_id,employee_id,effective_at,reason_code",Identity;Workflow;Security;Audit,"urgent revocation"
EmployeeTerminated,Access Governance,organisation_id,Employee offboarding initiated,"organisation_id,employee_id,effective_at,case_id",Identity;Workflow;Integration;Audit,"history preserved,idempotent orchestration"
RoleCreated,Organisation Authorization,organisation_id,Organisation role version created,"organisation_id,role_id,version,created_at",Policy cache;Audit,"protected catalogue references only"
RoleChanged,Organisation Authorization,organisation_id,Organisation role or scope changed,"organisation_id,role_id,version,change_type",Policy cache;Access Governance;Security;Audit,"urgent invalidation for reductions"
PermissionGranted,Organisation Authorization,organisation_id,Permission assignment becomes effective,"organisation_id,subject_id,permission_key,scope_ref,effective_at",Policy cache;Access Governance;Security;Audit,"privileged grants separately classified"
PermissionRevoked,Organisation Authorization,organisation_id,Permission assignment revoked or expires,"organisation_id,subject_id,permission_key,effective_at",Policy cache;Identity;Security;Audit,"urgent invalidation"
WorkflowCreated,Workflow,organisation_id,Workflow draft created,"organisation_id,workflow_id,domain_action,created_at",Workflow Admin;Audit,"draft not executable authority"
WorkflowPublished,Workflow,workflow_id,Approved immutable workflow version published,"organisation_id,workflow_id,version,definition_hash,effective_at",Domain services;Policy cache;Audit,"approval evidence,append only"
WorkflowChanged,Workflow,workflow_id,New draft or version change recorded,"organisation_id,workflow_id,version,change_type",Workflow Admin;Audit,"does not mutate published history"
WorkflowRetired,Workflow,workflow_id,Workflow version retired for new instances,"organisation_id,workflow_id,version,effective_at",Domain services;Audit,"existing instances retain version"
WorkflowDecisionRecorded,Workflow,workflow_instance_id,Authorized workflow decision committed,"organisation_id,instance_id,version,actor_id,decision,occurred_at",Owning domain;Notification;Audit,"append only,sod evaluated"
AccessRequested,Access Governance,organisation_id,Employee requests scoped access,"organisation_id,request_id,subject_id,grant_type,created_at",Manager;Access Admin;Audit,"minimum request data"
AccessApproved,Access Governance,organisation_id,Access request approved and grant effective,"organisation_id,request_id,grant_id,effective_at,expires_at",Policy cache;Identity;Audit,"workflow complete before grant"
AccessRejected,Access Governance,organisation_id,Access request rejected,"organisation_id,request_id,reason_code,decided_at",Requester;Audit,"safe reason only"
AccessCertified,Access Governance,organisation_id,Review item certified reduced or revoked,"organisation_id,review_id,subject_id,disposition,completed_at",Policy cache;Security;Audit,"snapshot and reviewer evidence"
SoDViolationDetected,Security,organisation_id,Protected duty conflict detected,"organisation_id,violation_id,policy_id,transaction_ref,detected_at",Security;Workflow Admin;Audit,"restricted,minimised,fail closed"
PrivilegedActionPerformed,Security,organisation_id,Privileged organisation operation committed,"organisation_id,actor_id,action,resource_ref,occurred_at",Security;Audit,"step-up and approval refs,high integrity"
NavigationConfigurationChanged,Workspace,organisation_id,Navigation definition or safe tenant override version changed,"organisation_id,navigation_version,change_type,effective_at",Workspace cache;Audit,"no executable policy payload"
CountryPackVersionCreated,Country Compliance,country_code,Immutable country-pack candidate registered,"country_code,pack_id,pack_version,content_hash,created_at",Validation;Audit,"signed provenance metadata; no statutory activation"
CountryPackValidated,Country Compliance,country_code,Country-pack validation completed,"country_code,pack_version,validation_run_id,result,completed_at",Regulatory Administration;Release;Audit,"synthetic tests; immutable evidence"
CountryPackApproved,Country Compliance,country_code,Independent regulatory and release approvals completed,"country_code,pack_version,approval_refs,signature_ref,approved_at",Registry;Readiness;Audit,"step-up; SoD; signature verification"
CountryPackActivated,Country Compliance,country_code,Approved country-pack version activated in a bounded environment,"country_code,pack_version,environment,effective_at,activation_ref",Tax;Documents;Reporting;Audit,"readiness gate; compare-and-set; rollback target"
CountryPackRejected,Country Compliance,country_code,Country-pack candidate rejected or withdrawn,"country_code,pack_version,reason_code,decision_ref,occurred_at",Regulatory Administration;Release;Audit,"no destructive deletion; preserve evidence"
JurisdictionResolved,Jurisdiction,organisation_id,Authoritative jurisdiction was resolved and pinned,"organisation_id,country_code,evidence_refs,resolver_version,resolved_at",Tax;Documents;Reporting;Audit,"minimal evidence references; fail closed on ambiguity"
JurisdictionConflictDetected,Jurisdiction,organisation_id,Conflicting jurisdiction evidence prevents fiscal action,"organisation_id,conflict_id,evidence_types,detected_at",Case Management;Security;Audit,"restricted; no inferred fallback"
OrganisationJurisdictionMigrationRequested,Jurisdiction,organisation_id,Controlled jurisdiction migration requested,"organisation_id,from_country,to_country,request_ref,requested_at",Regulatory Administration;Case Management;Audit,"step-up; no automatic historical rewrite"
OrganisationJurisdictionMigrationCompleted,Jurisdiction,organisation_id,Approved jurisdiction migration completed prospectively,"organisation_id,from_country,to_country,effective_at,decision_ref",Tax;Documents;Reporting;Audit,"approved effective boundary; preserve history"
CurrencyRatePublished,Money,currency_pair,Approved exchange-rate observation published,"base_currency,quote_currency,rate,source,observed_at,published_at",Tax;Accounting;Reporting;Audit,"exact decimal; source and effective time pinned"
ManualCurrencyRateApproved,Money,currency_pair,Exceptional manual rate received independent approval,"base_currency,quote_currency,rate,reason,approval_refs,effective_at",Tax;Accounting;Security;Audit,"dual approval; step-up; bounded use"
TaxRuleVersionSelected,Tax,country_code,Effective tax-rule version selected for a determination,"country_code,pack_version,rule_id,rule_version,effective_at",VAT;Documents;Reporting;Audit,"deterministic selection; immutable reference"
TaxDeterminationCompleted,Tax,organisation_id,Country-aware tax determination completed,"organisation_id,country_code,pack_version,rule_refs,currency_code,result_hash,occurred_at",VAT;Accounting;Reporting;Audit,"no sensitive formula payload; replayable evidence"
CountryReadinessStateChanged,Country Compliance,country_code,Country readiness control or decision changed,"country_code,control_id,old_state,new_state,decision_ref,occurred_at",Release;Risk;Audit,"independent approval; immutable history"
DocumentTemplatePublished,Documents,country_code,Country/version-bound statutory document template published,"country_code,template_id,template_version,pack_version,effective_at",Documents;Portal;Audit,"signed template; locale and accessibility validation"
BusinessCalendarPublished,Calendar,country_code,Country/version-bound business calendar published,"country_code,calendar_version,pack_version,effective_from,effective_to",Periods;Workflow;Reporting;Audit,"approved source and version"
DataResidencyPolicyActivated,Data Governance,country_code,Approved country residency/transfer policy activated,"country_code,policy_version,regions,approval_refs,effective_at",Data Platform;Security;Audit,"legal/privacy approval; fail closed"
SecurityProfileVersionCreated,Security Governance,profile_id,Immutable security profile candidate registered,"profile_id,profile_version,parent_ref,content_hash,created_at",Validation;Security Governance;Audit,"non-executable; signed provenance metadata"
SecurityProfileValidated,Security Governance,profile_id,Security profile schema merge and negative validation completed,"profile_id,profile_version,validation_run_id,result,completed_at",Security Review;Release;Audit,"tamper downgrade conflict and mandatory-floor tests"
SecurityProfileApproved,Security Governance,profile_id,Independent security privacy legal approvals completed,"profile_id,profile_version,approval_refs,signature_ref,approved_at",Registry;Readiness;Audit,"step-up; quorum; no self-approval"
SecurityProfileActivated,Security Governance,profile_id,Approved security profile activated in a bounded environment,"profile_id,profile_version,environment,effective_at,activation_ref",Policy Engine;Security;Audit,"readiness; signature; compare-and-set; rollback target"
SecurityProfileRejected,Security Governance,profile_id,Security profile candidate rejected or withdrawn,"profile_id,profile_version,reason_code,decision_ref,occurred_at",Security Governance;Release;Audit,"preserve immutable history; no activation"
PrivilegedAccessRequested,Privileged Access,principal_id,Eligible principal requests bounded privileged access,"request_id,principal_id,environment,scope,duration,reason_ref,requested_at",Approver;PAM;Security;Audit,"step-up; JIT eligibility; no self-approval"
PrivilegedAccessGranted,Privileged Access,principal_id,Approved JIT privileged session starts,"request_id,session_id,principal_id,scope,expires_at,approval_refs",PAM;Security;Audit,"ephemeral credential; monitored session"
PrivilegedAccessExpired,Privileged Access,principal_id,JIT privilege expires or is revoked,"session_id,principal_id,scope,reason,effective_at",Policy Cache;Security;Audit,"urgent invalidation; residual-session check"
SecurityIncidentDeclared,Incident Response,incident_id,Validated event is declared an incident,"incident_id,severity,scope_refs,commander_id,declared_at",CSIRT;Legal;Privacy;Operations;Audit,"restricted; immutable timeline; jurisdiction assessment"
SecurityResponseActionExecuted,Incident Response,incident_id,Approved manual or automated response action completes,"incident_id,action_id,policy_version,actor_or_automation,blast_radius,result,expires_at",CSIRT;Security;Audit,"bounded reversible automation only; rollback reference"
DigitalEvidenceCollected,Forensics,incident_id,Authorized evidence acquisition is sealed,"incident_id,evidence_id,source_ref,method,hash,collected_at,custodian_id",Evidence Store;Legal;Audit,"chain of custody; highly restricted; legal hold capable"
PrivacyRightsRequestReceived,Privacy,request_id,Identity-assured privacy-rights case is opened,"request_id,jurisdiction,right_type,subject_ref,received_at,due_at",Privacy;Records;Owning Domains;Audit,"purpose limited; deadlines from approved profile"
PrivacyImpactAssessmentApproved,Privacy,assessment_id,Required privacy impact assessment receives approval,"assessment_id,processing_ref,residual_risk,approval_refs,approved_at",Product;Data;Security;Audit,"does not replace legal compliance; immutable decision"
VulnerabilityDetected,Vulnerability Management,asset_id,Normalized vulnerability finding is validated,"finding_id,asset_id,release_ref,severity,exploitability,detected_at,due_at",Owner;Security;Release;Audit,"restricted; active exploitation escalates incident"
VulnerabilityRemediated,Vulnerability Management,asset_id,Deployed remediation passes verification,"finding_id,asset_id,release_ref,verification_ref,closed_at",Security;Release;Audit,"closure requires retest and deployment evidence"
BackupRestoreTestCompleted,Recovery,recovery_scope,Scheduled backup restore and integrity test completes,"exercise_id,recovery_scope,recovery_point,result,rto,rpo,evidence_ref,completed_at",SRE;Security;Data;Audit,"synthetic/approved data; tenant fiscal and audit checks"
SecurityControlStateChanged,Security Governance,control_id,Control implementation or operating state changes,"control_id,scope,old_state,new_state,evidence_ref,decision_ref,occurred_at",Risk;Assurance;Release;Audit,"critical degradation may block release or trigger incident"
