Profile,Source or requirement,Applicability questions,Architecture capabilities,Required authority or review,Activation status
USA,"FISMA FedRAMP or agency cloud requirements","Is VAT-MSA used by a US federal agency in a context requiring authorization?","Authorization boundary control baseline continuous monitoring and agency evidence","Agency Authorizing Official Legal and CISO","NOT_CURRENTLY_IN_SCOPE"
USA,"State privacy and breach laws","Which states residents thresholds data categories exemptions sale share advertising rights and notification laws apply?","State-aware privacy cases sensitive-data controls contracts retention and breach decision matrix","US Privacy Counsel per deployment","CONDITIONAL_LEGAL_ASSESSMENT_REQUIRED"
USA,"SOC 2 assurance","Does a customer or commercial strategy require an AICPA SOC 2 examination?","Selected Trust Services Criteria scope sustained evidence auditor access and remediation","Executive Legal CISO and independent CPA firm","OPTIONAL_NOT_ATTESTED"
NAMIBIA,"Constitutional privacy and enacted data-protection law once verified","What law is enacted commenced and applicable and what are controller processor regulator rights transfer residency and breach duties?","PIMS local notice rights DPIA retention residency transfer supplier and breach profile","Namibia Legal Privacy Authority and regulator where established","REQUIRES_CURRENT_GAZETTED_LAW_AND_LEGAL_OPINION"
NAMIBIA,"Cybercrime cybersecurity communications and electronic-transactions requirements","Which enacted laws regulations policies and government directives apply to VAT-MSA and electronic evidence?","Security governance incident forensics evidence communications and signature controls","Namibia Legal CISO MICT or competent authorities","REQUIRES_NAMIBIAN_CONFIRMATION"
NAMIBIA,"NamRA and ITAS security requirements","What official identity API PKI certificate message audit incident residency support and sandbox contracts apply?","Dedicated government trust boundary strong authentication validation replay evidence reconciliation and kill switch","NamRA ITAS Integration Owner CISO and Legal","LIVE_INTEGRATION_DISABLED"
NAMIBIA,"Financial-sector requirements","Does VAT-MSA or a connected organisation perform a regulated payment banking or financial service?","Sector controls payment scope supplier integration and regulatory evidence","Namibia financial counsel relevant regulator Finance and CISO","CONDITIONAL_SCOPE_UNDETERMINED"
UK,"UK GDPR Data Protection Act NIS and sector rules","Is a UK entity data subject service or regulated sector in scope?","UK privacy transfer breach cybersecurity and regulator profile","UK Legal Privacy CISO and competent regulators","COUNTRY_PROFILE_NOT_AUTHORED"
CANADA,"Federal provincial privacy cybersecurity tax and sector rules","Which province entity activity and public private sector law applies?","Country processing rights breach residency supplier and security profile","Canadian Legal Privacy and regulator","COUNTRY_PROFILE_NOT_AUTHORED"
AFRICA_OTHER,"Country-specific privacy cybercrime tax electronic-transactions records and localization law","Which country legal entity service data sector and government authority applies?","Country profile using global floor plus approved local controls","Local Legal Privacy Tax Authority CISO and regulator","NO_REGIONAL_AUTO_ACTIVATION"
MIDDLE_EAST,"Country free-zone privacy cyber tax localization and critical-infrastructure rules","Which country or free-zone entity data sector and hosting location applies?","Country residency transfer identity incident government integration and accreditation profile","Local Legal Privacy CISO Tax Authority and regulator","NO_REGIONAL_AUTO_ACTIVATION"
ASIA_PACIFIC,"Country privacy cybersecurity tax localization electronic-invoice and sector rules","Which country territorial entity data and sector triggers apply?","Country-specific privacy security government integration retention and residency profile","Local Legal Privacy Tax Authority CISO and regulator","NO_REGIONAL_AUTO_ACTIVATION"
AUSTRALIA_NEW_ZEALAND,"Country privacy breach critical-infrastructure records tax and sector rules","Which country entity threshold data and critical-service triggers apply?","Country privacy breach security supplier and resilience profile","Local Legal Privacy CISO Tax Authority and regulator","COUNTRY_PROFILE_NOT_AUTHORED"
LATIN_AMERICA,"Country privacy cybersecurity tax e-invoicing localization and signature rules","Which country entity processing e-invoice and government integration duties apply?","Country profile and authority-specific fiscal security adapter","Local Legal Privacy Tax Authority CISO and regulator","NO_REGIONAL_AUTO_ACTIVATION"
