VAT-MSA capability,CSF 2.0 Function,CSF 2.0 Category,Architecture or control mapping,Target outcome,Evidence,Status
Data lifecycle protection,PROTECT,PR.DS Data Security,"Documents 35 and 37; SEC-DAT and SEC-PRV","Data is minimized classified encrypted authorized retained and disposed according to purpose and law","Encryption access DLP retention and disposal evidence","PROPOSED_REQUIRES_PLATFORM_AND_LEGAL_DECISIONS"
Key and secret protection,PROTECT,PR.DS Data Security,"Document 35; SEC-KEY-001 to 003","Keys and secrets are purpose separated protected rotated revoked recovered and never stored in source","Key inventory usage rotations secret scans and compromise drill","PROPOSED_REQUIRES_PLATFORM_DECISION"
Immutable fiscal and audit integrity,PROTECT,PR.DS Data Security,"Documents 35 and 36; SEC-FIS and SEC-AUD","Certified fiscal records and audit evidence resist unauthorized alteration and retain lineage","Integrity checks correction links and tamper tests","MANDATORY_BASELINE"
Application and API security,PROTECT,PR.PS Platform Security,"Document 35; SEC-APP and SEC-API","Secure design validation authorization resource limits and safe failure protect applications and APIs","ASVS/API traceability SAST DAST fuzz and abuse results","PROPOSED_REQUIRES_IMPLEMENTATION"
Cloud workload hardening,PROTECT,PR.PS Platform Security,"Document 35; SEC-CLD-001 and 002","Environments and workloads are isolated hardened signed least privileged and monitored","Cloud policy image scan admission and runtime evidence","PROPOSED_REQUIRES_PROVIDER_DECISION"
Secure software supply chain,PROTECT,PR.PS Platform Security,"Document 38; SEC-SUP-001","Build dependencies artifacts and deployment trust have SBOM provenance signature and admission controls","Build evidence SBOM provenance signature and deployment digest","PROPOSED_REQUIRES_PIPELINE_IMPLEMENTATION"
Edge network and microsegmentation,PROTECT,PR.IR Technology Infrastructure Resilience,"Document 35; SEC-NET-001 and 002","Public exposure is minimized and compromise is contained by segmented identity-aware infrastructure","Exposure inventory network policy flow logs and penetration tests","PROPOSED_REQUIRES_PLATFORM_DECISION"
High availability and graceful degradation,PROTECT,PR.IR Technology Infrastructure Resilience,"Documents 19 and 38; SEC-RES-003","Security enforcement scales horizontally and protected actions do not fail open during dependency loss","Capacity failover backlog and safe-degradation tests","NOT_READY_REQUIRES_CAPACITY_EVIDENCE"
Backup and clean-room readiness,PROTECT,PR.IR Technology Infrastructure Resilience,"Documents 20 and 38; SEC-RES-001 and 002","Encrypted immutable isolated backups and clean control plane support secure recovery","Backup jobs immutability restore and reconciliation evidence","NOT_READY_REQUIRES_EXERCISE"
Identity and privilege monitoring,DETECT,DE.CM Continuous Monitoring,"Document 36; SEC-MON-001","Authentication recovery token privilege and access anomalies are continuously monitored","Source health detection results and incident links","PROPOSED_REQUIRES_SOC_IMPLEMENTATION"
Application API data and cloud monitoring,DETECT,DE.CM Continuous Monitoring,"Document 36; SEC-MON-001 and 002","Edge app integration database workload delivery and DLP telemetry has coverage and freshness","Coverage dashboard ingestion gap tests and alerts","PROPOSED_REQUIRES_SOC_IMPLEMENTATION"
Fraud and cyber signal analysis,DETECT,DE.AE Adverse Event Analysis,"Document 36","Cyber and fraud signals correlate with source references confidence and explainable logic","Correlation versions source events and analyst decisions","PROPOSED_REQUIRES_GOVERNED_ENGINE"
Threat triage and incident declaration,DETECT,DE.AE Adverse Event Analysis,"Document 36; SEC-RSP-001","Events are validated scoped prioritized and declared through consistent severity and authority","Alert triage incident declaration and timeline evidence","PROPOSED_REQUIRES_STAFFING"
Incident command and case control,RESPOND,RS.MA Incident Management,"Document 36; SEC-RSP-001","Incidents have command roles decisions tasks evidence and escalation through closure","Incident case command log and action tracking","PROPOSED_REQUIRES_STAFFING_AND_EXERCISE"
Technical and forensic analysis,RESPOND,RS.AN Incident Analysis,"Document 36; SEC-FOR-001","Root cause impact and evidence are investigated reproducibly with protected chain of custody","Forensic manifests timelines hashes and analysis reports","PROPOSED_REQUIRES_LEGAL_AND_TOOLING_REVIEW"
Incident communications and notification,RESPOND,RS.CO Incident Response Reporting and Communication,"Documents 36 and 37","Internal customer regulator supplier and public communications follow approved facts authority and deadlines","Notification decisions communications and delivery evidence","PROPOSED_REQUIRES_COUNTRY_LEGAL_PROFILES"
Governed containment and eradication,RESPOND,RS.MI Incident Mitigation,"Document 36; SEC-RSP-002","Containment is least-blast reversible where possible and followed by eradication from clean trust","Action approvals automation logs rollback and validation","MANDATORY_GUARDRAIL_PLATFORM_PENDING"
Recovery plan execution,RECOVER,RC.RP Incident Recovery Plan Execution,"Documents 20 and 38; SEC-RES-002","Clean restore signed artifacts replay and fiscal tenant audit reconciliation precede reopening writes","Exercise timeline control totals approvals and achieved RTO RPO","NOT_READY_REQUIRES_EXERCISE"
Recovery communications,RECOVER,RC.CO Incident Recovery Communication,"Documents 20 and 36","Stakeholders receive authorized restoration impact backlog and next-action communication","Communication approvals messages and acknowledgements","PROPOSED_REQUIRES_EXERCISE"
