Role,Portal,Primary_permissions,Organisation_scope,Taxpayer_financial_data,NamRA_internal_risk,Platform_configuration,ABAC_obligations
Super Administrator,Super Admin,"platform,features,APIs,integrations,deployment,health",Platform environment,None by default,None,Authorized technical settings,"JIT,MFA,change approval,no tax scope inheritance"
Infrastructure Administrator,Super Admin,"infrastructure,capacity,recovery",Platform environment,None,None,Infrastructure only,"JIT,MFA,recorded session"
Security Analyst,Super Admin/SOC,"security events,incidents,response,audit",Platform/security scope,Tokenized/minimal evidence only,Security indicators only,Security controls,"clearance,purpose,high-impact approval"
Database Administrator,Super Admin,"database availability,backup,performance",Named data services,None by default,None,Data infrastructure,"JIT,query monitoring,bounded technical break-glass,no SoD override"
Finance Administrator,Organisation Administration,"finance employees,finance roles,finance workflows,assigned branches",Assigned branches/business units,Only separately granted finance scope,None,None,"delegated admin ceiling,SoD,step-up for privileged grants"
User Access Administrator,Organisation Administration,"employees,invitations,role assignments,access reviews,offboarding",Own organisation or delegated unit,No financial scope by default,None,None,"grantable catalogue,approval,recertification,no authority amplification"
Branch Administrator,Organisation Administration,"branch employees,branch roles,branch workflow assignments",Named branches,Branch metadata and separately granted records,None,None,"branch predicate,protected roles excluded"
Workflow Administrator,Organisation Administration,"workflow draft,test,publication request,history read",Named domains/branches,No transaction approval by inheritance,None,None,"typed definitions,change approval,SoD,no self-publication where prohibited"
Integration Administrator,Organisation Administration,"API clients,webhooks,connector configuration,usage",Named integrations,No tax records by default,None,None,"licence entitlement,step-up,credential references only,quota"
Licence Administrator,Organisation Administration,"licence,entitlements,usage,billing metadata,renewal and change requests",Own organisation,No financial/tax records by inheritance,None,None,"commercial disclosure scope,cannot set licence state or limits"
Country Pack Author,Regulatory Administration,"draft country-pack versions,attach official evidence,request validation",Assigned countries,None,Read approved regulatory sources,None,"country assignment,no activation,no self-approval,immutable version"
Country Pack Reviewer,Regulatory Administration,"review rule interpretation,validation evidence and golden cases",Assigned countries,None,Approved regulatory evidence,None,"independent from author,step-up,no activation"
Country Pack Approver,Regulatory Administration,"approve or reject reviewed country-pack versions",Assigned countries,None,Approved regulatory evidence,None,"independent quorum,step-up,signature,no self-approval"
Country Release Authority,Platform Administration,"request and approve bounded pack activation or rollback",Approved countries/environments,None,None,Country-pack activation metadata,"country-readiness pass,independent regulatory approval,step-up,no rule editing"
Jurisdiction Case Officer,Regulatory Administration,"resolve jurisdiction conflicts and migration cases",Assigned cases,None,Case evidence,None,"purpose,assignment,dual control for migration,no historical rewrite"
Currency Policy Reviewer,Regulatory Administration,"review rate sources and exceptional manual-rate requests",Assigned countries/currency pairs,None,Approved financial evidence,None,"independent approval,exact value/source/effective time,step-up"
Country Readiness Assessor,Assurance,"record readiness evidence and control assessment",Assigned country/control domains,None,Read approved evidence,None,"cannot author pack or activate; evidence expiry; conflict declaration"
Country Readiness Decision Authority,Assurance,"approve or reject country readiness",Assigned countries,None,Read approved evidence,None,"multi-domain quorum,step-up,no open critical control"
Chief Information Security Officer,Security Governance,"security policy,risk treatment,control baseline,incident authority,assurance oversight",Global platform security,None,Authorized security/risk summaries,Security policy only,"dedicated identity,step-up,JIT for operations,no self-attestation,no automatic taxpayer access"
Privacy and Data Protection Authority,Privacy Governance,"PIMS,DPIA,rights,breach,residency,transfer,processor oversight",Assigned legal entities/countries,Minimum case-approved personal/tax data,None,Privacy configuration only,"purpose,case,jurisdiction,step-up for policy,no security or fiscal approval inheritance"
SOC Lead and Incident Commander,SOC,"detections,incident declaration,containment coordination,evidence and recovery coordination",Assigned incidents/environments,Tokenized/minimum incident evidence,Authorized security indicators,Bounded response configuration,"clearance,purpose,JIT,high-impact human approval,no statutory/payment authority"
Evidence Custodian,Forensics,"collect,hash,transfer,retain and disclose authorized evidence",Assigned incidents/legal holds,Case-minimum protected evidence,Case-approved security evidence,Evidence store custody only,"chain of custody,JIT,dual control for export,cannot alter source activity"
Internal Security Auditor,Assurance,"read controls,evidence,exceptions,tests and management reviews",Approved audit scope,Read-only sampled/minimized,Read-only approved indicators,None,"independence,purpose,read-only,no control operation,no evidence mutation"
Cryptographic Key Custodian,Security Administration,"key ceremony,rotation,revocation,recovery and usage review",Named key domains/environments,None,None,KMS/HSM only,"JIT,quorum,purpose separation,no protected business approval,no raw key export"
Security Profile Author,Security Governance,"draft global,regional or country security profile versions",Assigned profile scope,None,None,Draft profile metadata,"cannot review approve sign or activate own version; step-up for sensitive drafts"
Security Profile Reviewer,Security Governance,"review control interpretation,applicability and validation evidence",Assigned profile scope,None,Approved regulatory/security evidence,Review metadata,"independent from author,no signing or activation,conflict declaration"
Security Profile Approver,Security Governance,"approve or reject reviewed security profile versions",Assigned profile scope,None,Approved regulatory/security evidence,Approval metadata,"independent quorum,step-up,no self-approval,no direct activation"
Security Release Authority,Platform Administration,"activate or rollback approved security profile and signed release artifacts",Approved environments/profiles,None,None,Activation metadata only,"readiness pass,signature verification,step-up,no authoring,compare-and-set and rollback evidence"
