Requirement_ID,Requirement,Architecture_Component,Service_Module,Data_Store,API_Event,Security_Control,Business_Process,Verification
22,VAT Return Period,Period architecture,Period Module,Periods and closures,Period APIs and events,Close authority and immutable snapshot,BP-19 period close,Boundary late-posting and reopen tests
23,VAT Reconciliation,Reconciliation architecture,Reconciliation Module,Matches and exceptions,Reconciliation APIs and events,Controlled resolution and evidence,BP-20 reconciliation,Control-total and exception tests
24,Automated VAT Return,Return automation,Return Module,Return draft provenance,Generate return command,Versioned rules and human approval,BP-21 generation,Golden return and explainability tests
25,Quotation System,Sales domain,Quotation Module,Quotations and versions,Quotation API and events,Tenant roles and approval,BP-08 quotation,Version approval and expiry tests
26,Quotation to Tax Invoice,Sales-fiscal boundary,Quotation and Invoice Modules,Conversion link,Convert command and InvoiceCreated,Idempotency and snapshot,BP-08 conversion,Repeated conversion and change tests
27,Accounting System,Accounting domain,Ledger Module,Journal accounts entries,Accounting API and events,Double-entry SoD and close controls,BP-15 to BP-18,Balance reversal and period tests
28,Expense Management,Expense domain,Expense Module,Expenses receipts approvals,Expense APIs,Malware scan limits and maker-checker,BP-16 expense,OCR exception and approval tests
29,Inventory Management,Inventory domain,Inventory Module,Warehouses stock movements,Inventory APIs and events,Branch scope and append-only moves,BP-17 inventory,Concurrency reversal and valuation tests
30,Project Management,Project domain,Project Module,Projects budgets allocations,Project APIs,Project scope and approval limits,BP-18 project accounting,Budget and allocation tests
31,Multi-Branch Management,Organisation architecture,Branch Module,Branches assignments and series,Branch APIs,Branch ABAC and segregated stock,BP-07 branch setup,Cross-branch authorization tests
32,Multi-Entity Management,Tenancy architecture,Organisation Module,Legal entity relationships,Organisation API,Explicit entity tenant boundaries,Entity setup and delegation,Cross-entity and consolidation tests
33,Multi-Currency,Currency architecture,Reference and Accounting Modules,Rates and original values,Rate and transaction APIs,Approved source and immutable snapshot,Invoice and accounting flows,Rounding rate and revaluation tests
34,Import Management,Trade architecture,Import Module,Import declarations and evidence,Import APIs,Document custody and tax-rule controls,Import capture and VAT claim,Eligibility and evidence tests
35,Digital Tax Document Wallet,Document architecture,Document Service,Object store and metadata,Document APIs and events,Encryption malware DLP and custody,BP-28 upload,Upload download retention and tamper tests
36,Invoice Verification,Public verification,Verification Service,Verification projection,Verification API,Rate limit anti-enumeration and masking,BP-11 verification,Authentic revoked guessed-token tests
37,Taxpayer Consent Management,Consent architecture,Consent Service,Consent grants and use log,Consent APIs and events,Purpose scope expiry revocation,BP-06 consent,Revocation and downstream cache tests
38,Practitioner Delegation,Delegation architecture,Delegation Service,Mandates and assignments,Delegation APIs,Client scope SoD and evidence,BP-06 delegation,Portfolio isolation and expiry tests
39,Internal Approval Workflows,Workflow architecture,Approval Module,Approval tasks and decisions,Workflow APIs and events,Maker-checker limits and escalation,All high-risk workflows,SoD and bypass tests
40,Tax Calendar,Calendar architecture,Calendar Module,Obligations and deadlines,Calendar APIs and events,Authoritative rule version,BP-24 calendar,Timezone holiday and rule tests
41,Taxpayer Communication Centre,Communication architecture,Notification Module,Messages preferences receipts,Notification APIs and events,Channel minimisation and preference policy,BP-31 communication,Delivery fallback and privacy tests
42,Audit Case Management,Audit architecture,Audit Case Module,Cases evidence custody,Audit APIs and events,Assignment purpose SoD and legal hold,BP-25 audit,Lifecycle custody and access tests
43,VAT Dispute Objection Workflow,Dispute architecture,Dispute Module,Objections evidence outcomes,Dispute APIs,Independent review and statutory timing,BP-26 objection,Eligibility timeline and appeal tests
44,Taxpayer Compliance Centre,Compliance architecture,Compliance Module,Obligations statuses and actions,Compliance APIs,Purpose-based access and explainability,Compliance journey,Status accuracy and tenant tests
45,Taxpayer Risk Indicator,Risk architecture,Risk Module,Risk factors scores versions,Risk APIs,Explainability privacy and human review,BP-27 risk,Model drift bias and reason tests
46,NamRA Risk Engine,Risk and enforcement,Risk Module,Risk features and referrals,Risk events,Restricted logic SoD and audit,BP-27 risk and BP-25 audit,Adversarial and false-positive tests
47,Developer Portal,Ecosystem architecture,Developer Portal,Clients keys documentation,Developer APIs,Client identity scopes quotas rotation,BP-30 onboarding,Key lifecycle and conformance tests
48,SaaS Sandbox,Ecosystem architecture,Sandbox Service,Synthetic tenants and fixtures,Sandbox APIs,Isolation quotas and no live data,BP-30 onboarding,Tenant reset and production-separation tests
49,SaaS Integration,Integration architecture,Connector Framework,Connector state receipts provenance,Connector APIs and webhooks,Consent signatures DLP and circuits,BP-29 integration,Contract replay revocation and outage tests
50,API First Architecture,Contract architecture,API Gateway and domain APIs,API metadata,OpenAPI AsyncAPI and events,OAuth policy rate and safe errors,BP-30 onboarding,Contract compatibility fuzz and auth tests
51,Bank Reconciliation,Accounting integration,Bank Connector and Reconciliation,Bank imports and matches,Bank APIs and events,Consent encryption duplicate controls,BP-15 bank reconciliation,Import dedupe and uncertain-match tests
52,Electronic Payment Integration,Payment integration,Payment Adapter,Payment instructions and receipts,Payment APIs and events,Idempotency signatures SoD and reconciliation,Refund/payment flow,Timeout duplicate and settlement tests
53,Data Portability,Data governance,Export Service,Export jobs and manifests,Export API,Step-up encryption expiry and audit,BP-32 export,Completeness format and disclosure tests
54,Open Data API Principle,Open-data architecture,Open Data Service,Approved aggregate datasets,Public data API,Disclosure control quotas and privacy review,Open-data publication,Re-identification and threshold tests
55,NamRA Portal,Experience architecture,NamRA BFF,Regulatory read models,NamRA APIs,Officer role office purpose and audit,NamRA journeys,E2E officer authorization tests
56,NamRA Taxpayer Search,Search architecture,Search Service,Search index and access log,Search API,Purpose rate masking and query audit,NamRA search,Enumeration and cross-office tests
57,NamRA Administration,Admin architecture,NamRA Admin Module,Policy and admin records,Admin APIs,PAM maker-checker and audit,NamRA administration,Privilege and configuration-change tests
58,Super Administration,Control-plane architecture,Super Admin Module,Platform configuration,Super Admin APIs,JIT PAM quorum and session recording,Super administration,Break-glass and SoD tests
59,Accounting and Tax Separation,Domain architecture,Ledger and VAT Modules,Separate ledgers with reconciliation,Accounting and VAT contracts,Ownership boundaries and control totals,BP-20 reconciliation,VAT-to-GL divergence tests
60,Database Architecture,Data architecture,Domain repositories,Relational object event search analytics stores,Data contracts,Tenant constraints encryption PITR,All processes,Schema constraint backup and isolation tests
61,Event Driven Architecture,Integration architecture,Event Backbone,Outbox inbox and event log,AsyncAPI event catalog,Schema governance and producer identity,Async workflows,At-least-once replay and compatibility tests
62,Real Time Processing,Streaming architecture,Stream Consumers,Projections and checkpoints,Domain events,Backpressure idempotency and monitoring,Verification reconciliation alerts,Latency lag and replay tests
63,Offline Desktop Application,Offline architecture,Desktop Client,Encrypted local store and journal,Offline command API,Device binding signed policy and remote revoke,BP-13 offline invoice,Theft expiry and tamper tests
64,Synchronisation Engine,Sync architecture,Sync Service,Inbox receipts conflicts and checkpoints,Sync APIs and events,Mutual auth idempotency and quarantine,BP-14 synchronization,Partial replay conflict and duplicate tests
65,National Scale Scalability,Scale architecture,Stateless services and cells,Partitioned stores,Gateway and event contracts,Quotas isolation and load shedding,Peak national journeys,2x forecast peak and chaos tests
66,Capacity Engineering,SRE architecture,Capacity Management,Metrics and forecasts,Telemetry APIs,Cost quotas and saturation alerts,Deadline readiness,Load spike soak and forecast review
67,High Availability,HA architecture,All Tier 1 Services,Replicated critical stores,Health and failover contracts,Multi-zone bulkhead and safe degradation,Critical fiscal journeys,Zone failure and brownout tests
68,Disaster Recovery,Recovery architecture,DR Orchestration,Replicas backups keys and artifacts,Recovery runbooks,Quorum custody immutable backup and clean room,DR process,RTO RPO restore and reconciliation tests
69,Cybersecurity Architecture,Security architecture,Security Platform,Security telemetry and policies,Security control APIs,Zero trust defence in depth,All privileged and fiscal processes,Threat-model control validation
70,Security Controls,Control framework,Identity Policy Key and Edge Services,Policies keys evidence,Control-plane APIs,MFA ABAC encryption WAF EDR DLP,All processes,Control effectiveness and penetration tests
71,Security Monitoring,SOC architecture,Telemetry Pipeline,SIEM data and detections,SecurityThreatDetected,Minimized logs immutable evidence,SOC monitoring,Detection coverage and alert-quality tests
72,Cybersecurity Response,Incident architecture,Incident Response,Incidents evidence and actions,Response events,PAM custody containment and notification,BP-33 incident response,Tabletop purple-team and recovery tests
73,SOC Integration,Security operations,SOC Connector,Alerts cases and evidence,SIEM SOAR interfaces,Mutual auth data minimisation and signing,SOC triage,Connector failure and evidence tests
74,Audit Trail,Evidence architecture,Audit Service,Append-only audit log and checkpoints,Audit events,Tamper evidence access logging and time sync,All sensitive processes,Chain verification and repudiation tests
75,Privacy and Data Governance,Data governance,Data Governance Services,Catalogue lineage consent retention,Governance APIs,Purpose minimisation masking legal hold,All data processes,Privacy impact retention and export tests
76,Document Security,Document architecture,Document Service,Object store quarantine and metadata,Document APIs,Encryption checksum scan DLP custody,BP-28 upload,Malware tamper and unauthorized download tests
77,Financial Data Integrity,Ledger architecture,Accounting and Fiscal Ledgers,Journals VAT transactions and controls,Ledger APIs and events,Double entry append-only SoD and reconciliation,Accounting and return flows,Control-total reversal and concurrency tests
78,Corrections,Correction architecture,Invoice VAT Return and Ledger Modules,Linked versions and reversals,Correction APIs and events,Reason approval closed-period policy,BP-10 correction,History reproduction and no-update tests
79,Reporting and Analytics,Reporting architecture,Reporting Service,Read models and warehouse,Report and export APIs,RLS masking watermark and reconciliation,Reporting journeys,Freshness totals access and export tests
80,Business Intelligence,Analytics architecture,BI Semantic Layer,Certified models and metrics,BI query APIs,Row column security and disclosure controls,Executive and NamRA analytics,Metric lineage and source reconciliation tests
81,AI Capabilities,Model governance,Advisory AI Services,Feature and model registry,AI inference APIs,Lawful purpose explainability human review and monitoring,BP-27 and assistance flows,Bias drift adversarial and override tests
82,User Experience,Experience architecture,Design System and Portal BFFs,Preferences and read models,Journey APIs,Secure defaults clear consent and recovery,All portal journeys,Usability task-completion and error tests
83,Accessibility,Inclusive design,Design System,None beyond preferences,Accessible UI contracts,WCAG AA and assisted-channel policy,All user journeys,Automated and human accessibility audit
84,Mobile,Responsive architecture,Portal BFF and Mobile Web,Mobile session and drafts,Responsive APIs,Device risk secure storage and low data,Mobile journeys,Device viewport network and security tests
85,Notification Centre,Communication architecture,Notification Service,Templates preferences and receipts,Notification APIs and events,No sensitive insecure content and opt rules,BP-31 communication,Template locale receipt and retry tests
86,Enterprise Search,Search architecture,Search Service,Permission-filtered indexes,Search APIs,Query purpose ABAC masking and audit,NamRA and taxpayer search,Reindex authorization and inference tests
87,System Architecture,C4 architecture,Platform containers,All stores,All contracts,Trust boundaries and defence in depth,All processes,C4 and architecture-board validation
88,Core Domain Services,Domain architecture,31 bounded domains,Domain-owned data,Domain APIs and events,Ownership policy and least privilege,Domain processes,Dependency and contract tests
89,Storage Architecture,Data architecture,Repository and Storage Services,Relational object event cache search warehouse,Storage contracts,Encryption keys retention isolation and backups,All data processes,Restore lifecycle and classification tests
90,API Gateway,Edge architecture,API Gateway,Route quota and audit metadata,All external APIs,WAF OAuth rate schema and correlation,All API journeys,Gateway auth quota payload and failure tests
91,Event Bus,Event architecture,Event Backbone,Durable topics schemas checkpoints,AsyncAPI events,mTLS producer ACL schema and retention,Async workflows,Broker failover replay and poison tests
92,Idempotency,Resilience architecture,All Command Handlers,Idempotency keys hashes outcomes,Command APIs,Tenant-bound key and replay evidence,Issue submit payment and sync,Same-key same-response and conflict tests
93,Offline Data Security,Offline security,Desktop and Sync Services,Encrypted local store keys and journal,Offline APIs,Device binding secure key store expiry and wipe,BP-13 and BP-14,Lost device tamper and revoke tests
94,DevSecOps,Delivery architecture,CI CD and Security Toolchain,Artifacts SBOM evidence,Pipeline contracts,SAST SCA secret IaC image DAST signing,Release process,Gate bypass provenance and rollback tests
95,Software Development Life Cycle,Delivery governance,Engineering Platform,Requirements ADRs and evidence,Change contracts,Review separation and traceability,Phase delivery,Definition-of-ready and done audits
96,Testing Requirements,Test architecture,Test Harnesses,Synthetic fixtures and results,Contract simulators,Security privacy and test-data controls,All critical journeys,Unit contract E2E security performance DR suites
97,Zero Trust Principle,Security architecture,Identity Policy and Workload Identity,Policies credentials and decisions,Policy APIs,Authenticate authorize encrypt monitor every request,All resource access,Policy bypass lateral and credential tests
98,Observability,Observability architecture,Telemetry Platform,Metrics logs traces and profiles,OTel telemetry,Minimization access and integrity,All operations,Trace propagation SLO and cardinality tests
99,System Health Dashboard,Operations architecture,Health Aggregator,Service and business health metrics,Health APIs,Role-based views and no taxpayer leakage,Operations monitoring,Synthetic checks and stale-data tests
100,Feature Governance,Configuration architecture,Feature Policy Service,Flags owners approvals and expiry,Feature configuration API,No auth bypass tenant targeting and audit,Controlled release,Expiry rollback and policy tests
101,Development Outputs Required Before Coding,Governance package,Architecture Governance,Architecture artifacts,Contract catalogs,Approval gate and traceability,Pre-coding gate,45-deliverable completeness review
102,Database Design Requirement,Logical data architecture,Domain Repositories,Entity dictionary and ERD,Data contracts,PK FK uniqueness tenant and classification,All persistence flows,Schema review and invariant tests
103,Tax Invoice Numbering,Invoice integrity,Numbering Service,Series reservations and usage,Numbering API and events,Atomic allocation signed offline range and audit,BP-09 and BP-13,Concurrency gap duplicate and expiry tests
104,Reconciliation Architecture,Reconciliation architecture,Reconciliation Module,Matches exceptions and control totals,Reconciliation APIs and events,Evidence approval and no silent resolution,BP-20 reconciliation,Matching tolerance and unresolved-case tests
105,Refund Architecture,Refund architecture,Refund Module,Claims reviews decisions and payment receipts,Refund APIs and events,SoD explainability idempotency and fraud controls,BP-23 refund,Collusion duplicate timeout and appeal tests
106,Government Control Principle,Governance architecture,Policy and Administration Services,Authoritative configuration and audit,Admin and policy APIs,NamRA authority SoD and immutable evidence,Government administration,Unauthorized change and approval tests
107,Configurable Tax Engine,Rule architecture,Tax Rule Service,Signed versioned rule bundles,Rule APIs and events,Maker-checker signing effective dates and rollback,BP-34 tax-rule change,Golden boundary shadow and rollback tests
108,Final User Experience,Experience architecture,Portals BFFs and Design System,Read models preferences and tasks,Journey APIs,Accessible secure clear status and recovery,End-to-end user journeys,Usability accessibility and low-bandwidth tests
109,Target Experience,Service design,All Experience Services,Operational projections,Orchestrated APIs,Trust transparency and guided compliance,All target journeys,Service KPI and taxpayer research validation
110,Final Enterprise Principle,Enterprise architecture,All bounded domains,All governed stores,All contracts,Identity integrity security resilience and audit,All processes,Architecture principles compliance review
111,Implementation Order,Roadmap architecture,Programme increments,Migration and phase evidence,Versioned contracts,Phase security and approval gates,Phases 0 through 10,Phase acceptance and non-regression suites
112,Final Command to Development System,Formal approval gate,Architecture Governance,Architecture repository,Approved contract baseline,No production coding before approval,Pre-coding governance,Approval signatures and readiness audit
113,Enterprise Workspace Organisation Licensing Workflow Extension,Architecture extension,Workspace Licensing Organisation Authorization Workflow and Access Governance,Extension logical model,Extension API and event catalogues,Configuration is not a security boundary,Extension activation administration and workflow journeys,See workspace-licensing-requirements-traceability.csv for WLA-01 through WLA-42
