Control ID,Security Requirement,Standard,Region,System Component,Control Type,Implementation,Evidence,Test Method,Owner,Status
SEC-PAM-001,"Issue privileged access just in time for named scope and duration","NIST SP 800-207; NIST SP 800-53 AC","Global","PAM","Preventive","PAM broker with eligibility approval ephemeral credentials and expiry","Request approval session and expiry evidence","JIT issuance scope and expiry test","Privileged Access Owner","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-PAM-002,"Record and monitor privileged activity while respecting applicable privacy law","ISO/IEC 27001:2022; NIST SP 800-53 AU","Global and Country","PAM and Evidence","Detective","Command/session evidence with notice and restricted access","Session recording manifest and access log","Sampling and tamper-access test","CISO and Privacy Authority","PROPOSED_REQUIRES_LEGAL_REVIEW"
SEC-AUTH-001,"Enforce RBAC plus contextual ABAC at every protected server-side path","NIST SP 800-53 AC; OWASP ASVS 5.0.0","Global","Policy and Applications","Preventive","Central decision contract and domain resource authorization","Policy decisions and enforcement telemetry","Route object property bulk and event negative tests","Authorization Owner","MANDATORY_BASELINE"
SEC-AUTH-002,"Derive tenant and resource ownership from authoritative server data","OWASP ASVS 5.0.0; OWASP API Security 2023","Global","Applications and Data","Preventive","Trusted ownership lookup tenant predicates and RLS defense","Denied cross-tenant events and RLS configuration","Cross-tenant ID search cache queue and restore suite","Domain and Data Owners","MANDATORY_BASELINE"
SEC-AUTH-003,"Prevent custom or delegated roles from granting protected authority","NIST SP 800-53 AC; ISO/IEC 27001:2022","Global","Organisation Administration","Preventive","Grantable permission catalogue ceilings and non-transitive delegation","Role definition versions and denied grants","Permission fuzz and authority-amplification tests","Authorization Owner","MANDATORY_BASELINE"
SEC-DAT-001,"Classify records fields documents events logs indexes exports and backups","ISO/IEC 27001:2022; ISO/IEC 27701:2025","Global and Country","Data Governance","Governance","Five-level classification metadata and handling policy","Data inventory and classification coverage","Schema inventory and sample handling review","Data Governance Owner","PROPOSED_REQUIRES_APPROVAL"
SEC-DAT-002,"Encrypt restricted data in transit and at rest using approved cryptography","ISO/IEC 27001:2022; ISO/IEC 27040:2024; NIST SP 800-53 SC","Global","Data and Network","Preventive","TLS plus database object event log backup and replica encryption","Configuration and key references","Protocol cipher storage and backup inspection","Platform Security","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-DAT-003,"Use field encryption or tokenization when risk and access patterns justify it","ISO/IEC 27002:2022; ISO/IEC 27701:2025","Global and Country","Application and Data","Preventive","Field protection profile with separate key and access policy","Field inventory and cryptographic design","Unauthorized query and recovery test","Data Security Owner","PROPOSED_REQUIRES_DESIGN"
SEC-DAT-004,"Minimize collection, logs, events, analytics and exports to approved purpose","ISO/IEC 27701:2025; GDPR where applicable","Global and Applicable Jurisdictions","Data Lifecycle","Preventive","Purpose-bound schemas redaction and export projection","Processing inventory and schema diffs","Data-flow and log/event content tests","Privacy and Data Owners","PROPOSED_REQUIRES_LEGAL_REVIEW"
SEC-DAT-005,"Apply versioned retention, legal hold and verifiable secure disposal","ISO/IEC 27701:2025; ISO 30301; country law","Global and Country","Records and Storage","Corrective","Effective schedules hold precedence and deletion manifests","Schedule hold and disposal evidence","Retention boundary legal-hold and propagation tests","Records Owner","PROPOSED_REQUIRES_LEGAL_REVIEW"
SEC-DAT-006,"Keep licence expiry non-destructive and preserve statutory access and retention","ISO/IEC 27001:2022; country tax and records law","Global and Country","Licensing and Records","Preventive","Licence state cannot delete records or bypass required access/export","Licence transitions and record counts","Expiry downgrade cancellation continuity tests","Licensing and Records Owners","MANDATORY_BASELINE"
SEC-KEY-001,"Centralize key management with purpose environment and duty separation","NIST SP 800-57 final parts; ISO/IEC 27001:2022","Global","KMS and HSM","Preventive","Versioned key hierarchy policies usage logging and custodian roles","Key inventory policy and usage logs","Rotation revocation and unauthorized-use tests","Cryptographic Authority","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-KEY-002,"Store durable secrets only in an approved secret manager and never in source","NIST SP 800-53 IA and SC; NIST SP 800-218","Global","Secrets and Delivery","Preventive and Detective","Workload retrieval rotation expiry and secret scanning","Vault policy and secret-scan results","Repository image log and runtime secret tests","Platform Security","MANDATORY_BASELINE"
SEC-KEY-003,"Protect signing and high-impact keys with HSM or equivalent approved control","NIST SP 800-57; ISO/IEC 27001:2022","Global and Country","HSM and Signing","Preventive","Quorum or policy-bound use separate from author and approver","HSM policy signature and approval records","Unauthorized signing compromise and recovery drill","Cryptographic Authority","PROPOSED_REQUIRES_PLATFORM_AND_LEGAL_DECISION"
SEC-APP-001,"Use OWASP ASVS 5.0.0 as the verifiable application security baseline","OWASP ASVS 5.0.0; OWASP Top 10:2025","Global","Application Security","Governance","Version-pinned requirement traceability by application risk","ASVS matrix and test results","Independent coverage and sample verification","Application Security Owner","PROPOSED_REQUIRES_APPROVAL"
SEC-APP-002,"Prevent injection and unsafe dynamic evaluation","OWASP ASVS 5.0.0; OWASP Top 10:2025 A05","Global","Applications and Data","Preventive","Parameterized access contextual encoding typed templates and allowlisted expressions","Code review SAST and test evidence","Payload fuzz SAST DAST and code review","Engineering Owners","MANDATORY_BASELINE"
SEC-APP-003,"Protect sessions against CSRF fixation theft and unsafe client storage","OWASP ASVS 5.0.0","Global","Portal and Identity","Preventive","Secure HTTP-only same-site cookie anti-CSRF and reauthentication","Session configuration and events","Session fixation CSRF logout and replay tests","Identity and Web Owners","MANDATORY_BASELINE"
SEC-APP-004,"Constrain outbound requests to prevent SSRF and exfiltration","OWASP ASVS 5.0.0; OWASP API Security 2023 API7","Global","Applications and Network","Preventive and Detective","Approved fetch service egress proxy DNS/IP validation redirects time and byte limits","Egress policy and blocked request events","Metadata private-IP redirect and DNS rebinding tests","Platform and Application Security","MANDATORY_BASELINE"
SEC-APP-005,"Quarantine and validate every untrusted file before release","OWASP ASVS 5.0.0; ISO/IEC 27001:2022","Global","Document Service","Preventive and Detective","Opaque object ID size/type/content validation malware scan and non-executable serving","Scan verdict and quarantine-release evidence","Polyglot malware archive bomb and access tests","Document Security Owner","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-APP-006,"Fail safely under exceptional conditions without disclosing sensitive internals","OWASP Top 10:2025 A10; OWASP ASVS 5.0.0","Global","Applications and APIs","Preventive","Typed errors bounded retries idempotency and deny-on-policy-failure","Error telemetry and client response samples","Fault injection malformed dependency and policy outage tests","Engineering Owners","MANDATORY_BASELINE"
SEC-API-001,"Inventory and version all APIs with owner classification and retirement policy","OWASP API Security 2023 API9; ISO/IEC 27001:2022","Global","API Management","Governance","Authoritative OpenAPI AsyncAPI and endpoint catalogue","Inventory ownership and traffic reconciliation","Unknown shadow stale and version compatibility scans","API Platform Owner","PROPOSED_REQUIRES_APPROVAL"
SEC-API-002,"Apply schema byte depth array page query time and business-flow budgets","OWASP API Security 2023 API4 and API6","Global","Gateway and Applications","Preventive","Gateway and domain resource limits with fair tenant/client quotas","Limit configuration and throttle events","Boundary concurrency and resource exhaustion tests","API and Domain Owners","MANDATORY_BASELINE"
SEC-API-003,"Use idempotency and replay protection for financial and government writes","OWASP API Security 2023; NIST SP 800-53 SC","Global and Country","APIs and Integrations","Preventive","Durable idempotency keys nonce timestamp signature where required and result replay","Idempotency records and message receipts","Duplicate content-change retry and out-of-order tests","Integration and Domain Owners","MANDATORY_BASELINE"
SEC-API-004,"Validate all third-party API responses and constrain redirects and resources","OWASP API Security 2023 API10","Global","Integration","Preventive","Response schema content and signature validation plus outbound budgets","Validation failure events and contracts","Malformed oversized redirect timeout and injection tests","Integration Owner","MANDATORY_BASELINE"
SEC-FIS-001,"Make certified fiscal records immutable and corrections append-only","ISO/IEC 27001:2022 integrity; country tax law","Global and Country","Invoice VAT and Audit","Preventive","Immutable certification and linked reversal credit debit adjustment records","Record history hashes and approvals","Update delete duplicate and correction invariant tests","Fiscal Domain Owners","MANDATORY_BASELINE"
SEC-FIS-002,"Bind every fiscal result to jurisdiction country pack rule money and source versions","ISO/IEC 27001:2022; country tax law","Global and Country","Tax Determination","Preventive and Detective","Pinned immutable version references and deterministic replay","Determination evidence manifest","Golden case replay drift and missing-profile tests","Tax Policy and Engineering","MANDATORY_BASELINE"
SEC-NET-001,"Expose only protected edge services to public networks","ISO/IEC 27033 family; NIST SP 800-53 SC","Global","Network and Edge","Preventive","DDoS CDN WAF gateway origin allowlist and private data/admin services","Network diagram rules and exposure inventory","External attack-surface and origin-bypass tests","Network Security Owner","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-NET-002,"Microsegment public application integration data management security and recovery zones","ISO/IEC 27033 family; NIST SP 800-207","Global","Network and Cloud","Preventive","Deny-by-default network policy plus workload identity and egress inventory","Policy versions and flow logs","East-west lateral and unauthorized egress tests","Network and Platform Security","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-CLD-001,"Separate environments accounts identities keys networks and data","ISO/IEC 27017:2015; NIST SP 800-53","Global","Cloud Platform","Preventive","Environment-specific cloud accounts/projects and organization guardrails","Account inventory and policy evidence","Cross-environment credential network and data tests","Cloud Security Owner","PROPOSED_REQUIRES_PROVIDER_DECISION"
SEC-CLD-002,"Run hardened least-privileged replaceable workloads with admission and runtime control","ISO/IEC 27017:2015; NIST SP 800-53 CM and SI","Global","Workloads","Preventive and Detective","Non-root minimal signed images resource and network policy plus runtime detection","Image scan admission and runtime alerts","Privilege escape policy and malicious artifact tests","Platform Security","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-SUP-001,"Generate SBOM provenance and signed immutable release artifacts","NIST SP 800-218; NIST SP 800-161 Rev.1; OWASP Top 10:2025 A03","Global","Software Supply Chain","Preventive and Detective","Isolated reproducible build SBOM provenance signing and admission","SBOM provenance signature and deployment digest","Tampered dependency build and signature tests","DevSecOps Owner","PROPOSED_REQUIRES_PIPELINE_IMPLEMENTATION"
SEC-SUP-002,"Assess and continuously govern security-critical suppliers and integrations","ISO/IEC 27036 family; NIST SP 800-161 Rev.1","Global and Country","Supplier Management","Governance and Detective","Tiering due diligence contract evidence monitoring and exit plan","Supplier register assessments contracts and reviews","Annual review and supplier incident exercise","Supplier Risk Owner","PROPOSED_REQUIRES_PROCUREMENT_REVIEW"
SEC-AUD-001,"Create forensic-grade tamper-evident audit for security and regulatory events","ISO/IEC 27001:2022; NIST SP 800-53 AU","Global and Country","Audit and Evidence","Detective","Append-only schema separate immutable storage time sync and integrity metadata","Audit events chain checks and access logs","Completeness sequence tamper and restore tests","Audit Platform Owner","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-AUD-002,"Prevent business platform and evidence administrators from altering their own evidence","ISO/IEC 27001:2022; NIST SP 800-53 AU","Global","Audit and Administration","Preventive","Separate roles stores keys retention locks and read-only assurance access","Role matrix and denied mutation events","Privilege and direct-storage negative tests","CISO and Internal Audit","MANDATORY_BASELINE"
SEC-MON-001,"Collect and correlate identity edge API app data cloud endpoint delivery and fraud signals","NIST CSF 2.0 DE; ISO/IEC 27001:2022","Global","SOC and SIEM","Detective","Redundant collectors security lake SIEM detection-as-code and case linkage","Source coverage health detection and case evidence","Detection unit and end-to-end simulation tests","SOC Owner","PROPOSED_REQUIRES_PLATFORM_AND_STAFFING"
SEC-MON-002,"Detect telemetry gaps clock drift and control-source failure","NIST SP 800-53 AU and SI; ISO/IEC 27035-1:2023","Global","Observability and SOC","Detective","Heartbeat volume baseline time-health and ingestion reconciliation","Gap and clock alerts","Collector outage backlog overflow and clock tests","SOC and SRE","PROPOSED_REQUIRES_IMPLEMENTATION"
SEC-RSP-001,"Operate a governed incident lifecycle from preparation through improvement","NIST SP 800-61 Rev.3; ISO/IEC 27035-1:2023","Global and Country","Incident Response","Responsive","Incident command severity playbooks contacts evidence and lessons workflow","Incident records timelines decisions and actions","Tabletop functional and purple-team exercises","CSIRT Owner","PROPOSED_REQUIRES_STAFFING_AND_APPROVAL"
SEC-RSP-002,"Limit automated response to safe reversible bounded approved actions","NIST CSF 2.0 RS; ISO/IEC 27001:2022","Global","SOAR and Policy","Responsive","Versioned playbook confidence blast-radius expiry rollback and human gates","Automation decisions and rollback results","False-positive rollback and blast-radius tests","SOC and CISO","MANDATORY_BASELINE"
SEC-FOR-001,"Preserve digital evidence with hash custody access and legal-hold records","ISO/IEC 27037/27041/27042/27043 applicable parts; NIST SP 800-53 AU","Global and Country","Forensics and Evidence","Detective and Governance","Evidence ID acquisition manifest hashing verified copies custody and protected store","Chain-of-custody and legal-hold records","Evidence acquisition transfer access and verification exercise","Evidence Custodian and Legal","PROPOSED_REQUIRES_LEGAL_REVIEW"
SEC-PRV-001,"Maintain purpose lawful-basis role data-flow and processing records","ISO/IEC 27701:2025; GDPR where applicable","Global and Applicable Jurisdictions","Privacy Management","Governance","Processing inventory and approved legal/privacy decisions","Processing records notices and decisions","Quarterly reconciliation to systems and schemas","Privacy Authority","PROPOSED_REQUIRES_LEGAL_REVIEW"
SEC-PRV-002,"Support applicable privacy rights without rewriting fiscal history","ISO/IEC 27701:2025; GDPR where applicable; country law","Global and Country","Privacy Case and Fiscal Records","Corrective","Identity-assured case workflow linked correction restriction disclosure and appeal","Rights case evidence and fiscal linkage","Access correction deletion restriction and exception tests","Privacy and Records Owners","PROPOSED_REQUIRES_LEGAL_REVIEW"
SEC-PRV-003,"Perform DPIA or equivalent review for high-risk personal-data processing","ISO/IEC 27701:2025; GDPR where applicable","Global and Applicable Jurisdictions","Privacy Governance","Governance","Risk trigger checklist assessment residual risk and approval gate","DPIA decision and approved assessment","Feature portfolio sampling and gate test","Privacy Authority","PROPOSED_REQUIRES_APPROVAL"
SEC-PRV-004,"Fail closed on unapproved residency and cross-border transfer","ISO/IEC 27701:2025; GDPR where applicable; country law","Global and Country","Data Placement and Recovery","Preventive","Signed permitted-region policy covering primary replica backup support and telemetry","Placement inventory and transfer decision","Region routing failover support-access and backup tests","Privacy Legal and Cloud Owners","MANDATORY_BASELINE"
SEC-REG-001,"Sign version and independently approve regional and country security profiles","ISO/IEC 27001:2022; NIST SP 800-53 CM","Global and Country","Compliance Profile Registry","Preventive","Canonical hash signature quorum effective period compatibility and rollback protection","Profile manifest signatures approvals and activation history","Tamper expiry downgrade conflict and rollback tests","CISO and Country Regulatory Authority","PROPOSED_REQUIRES_ADR_APPROVAL"
SEC-REG-002,"Require country security readiness before production activation","ISO/IEC 27001:2022; NIST CSF 2.0 GV","Country","Release Governance","Governance","Legal security privacy integration test incident DR and ownership gate","Readiness decision and linked evidence","Gate completeness negative and stale-evidence tests","Country Release Authority","MANDATORY_BASELINE"
SEC-REG-003,"Keep PCI DSS conditional on verified cardholder-data environment scope","PCI DSS 4.0.1","Applicable Payment Scope","Payments","Governance","Scope and segmentation assessment before payment architecture activation","PCI scope opinion and provider responsibility matrix","Data-flow discovery and segmentation test","Payment Security Owner","PAYMENTS_DISABLED_SCOPE_UNDETERMINED"
SEC-REG-004,"Keep AI controls conditional and disable AI until approved","ISO/IEC 42001:2023; NIST AI RMF as applicable","Applicable AI Scope","AI and Analytics","Governance","AI inventory impact/security/privacy/model and human-oversight gate","AI applicability decision and assessment","Feature inventory and disabled-path test","AI Governance Authority","AI_DISABLED"
SEC-RES-001,"Maintain encrypted immutable isolated backups with independent credentials","ISO 22301:2019; ISO/IEC 27040:2024; NIST SP 800-53 CP","Global and Country","Backup and Recovery","Recovery","Retention-locked copies offline or isolated recovery and monitored backup jobs","Backup inventory immutability and job results","Delete/tamper attempt and restore sampling","SRE and Data Owners","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-RES-002,"Recover through a clean control plane and reconcile fiscal tenant and audit integrity","ISO 22301:2019; NIST CSF 2.0 RC","Global and Country","Disaster Recovery","Recovery","Clean-room trust restore signed artifacts event replay and control totals","Exercise timeline hashes control totals and approvals","Zone region cyber recovery and failback tests","DR Lead CISO and Fiscal Owners","NOT_READY_REQUIRES_EXERCISE"
SEC-RES-003,"Prevent security controls from becoming a national-scale single bottleneck","ISO 22301:2019; NIST CSF 2.0 PR and RC","Global","Identity Policy Edge and SOC","Preventive and Recovery","Horizontally scalable stateless enforcement buffered telemetry bulkheads and reserved capacity","Load topology and saturation evidence","Peak spike soak failover and dependency-outage tests","Architecture and SRE","NOT_READY_REQUIRES_CAPACITY_EVIDENCE"
SEC-TST-001,"Run risk-based SAST SCA secret IaC container DAST API fuzz and abuse gates","NIST SP 800-218; OWASP ASVS 5.0.0","Global","DevSecOps and Testing","Detective","Automated pipeline gates plus controlled security environment","Scan test and waiver evidence linked to artifact","Known-vulnerable fixture and gate-bypass tests","Application Security and DevSecOps","PROPOSED_REQUIRES_PIPELINE_IMPLEMENTATION"
SEC-TST-002,"Complete independent penetration testing before production and material expansion","ISO/IEC 27001:2022; OWASP ASVS 5.0.0","Global and Country","Independent Assurance","Detective","Authorized external internal web API cloud identity tenant and business-logic scope","Report remediation and retest evidence","Independent test and closure review","CISO and Independent Assessor","NOT_READY_REQUIRES_TEST"
SEC-SLO-001,"Measure security control availability freshness response remediation and recovery objectives","NIST CSF 2.0 GV.OV and ID.IM; ISO/IEC 27001:2022","Global","Security Governance and Observability","Detective and Governance","Versioned indicators targets windows owners evidence and breach actions","SLO dashboard source data and breach reviews","Metric accuracy missing-data and breach-workflow test","CISO and SRE","PROPOSED_REQUIRES_TARGET_APPROVAL"
