ISO/IEC 27036 series,"Current applicable parts verified before use","Supplier relationship security guidance","Cloud SaaS government payment identity and other suppliers","Documents 36 and 38; SEC-SUP","Supplier lifecycle and contractual security","Part/version selection depends on relationship and procurement scope","Supplier tiering assessments contracts and monitoring","Supplier Risk and Procurement","CONDITIONAL_BY_SUPPLIER"
ISO/IEC 27033 series,"Current applicable parts verified before use","Network security guidance","Network edge segmentation and secure connectivity","Document 35; SEC-NET","Network design and gateway/segmentation guidance","Network controls do not replace identity/resource authorization","Network architecture policy flows and tests","Network Security","APPLICABLE_GUIDANCE"
ISO/IEC 27034-1,"2011 current confirmed in 2022 plus applicable parts","Application security guidance","VAT-MSA application lifecycle","Documents 35 and 38; SEC-APP and SEC-TST","Application security governance complementing OWASP verification","Use current confirmed status and licensed text","Application security lifecycle and review evidence","Application Security","APPLICABLE_GUIDANCE"
ISO/IEC 27040,"2024","Storage security requirements and guidance","Databases objects logs backups replicas and media","Documents 35 and 38; SEC-DAT and SEC-RES","Storage lifecycle and media/device protection","Cloud shared responsibility and local records law remain additional","Storage design encryption media and disposal evidence","Data and Cloud Security","APPLICABLE_GUIDANCE"
ISO/IEC 27037/27041/27042/27043,"Current applicable parts verified before use","Digital evidence identification investigation and analysis guidance","Forensic readiness and investigations","Document 36; SEC-FOR","Evidence handling process and investigation quality","Legal admissibility privacy and labor rules are jurisdiction-specific","Forensic procedure custody hashes access and competence","Legal and Evidence Custodian","CONDITIONAL_BY_INVESTIGATION"
ISO/IEC 42001,"2023","Certifiable AI management system requirements","Only if VAT-MSA introduces AI/ML capabilities","Document 37 conditional AI gate; SEC-REG-004","AI management governance and continual improvement","AI is disabled; alignment is not certification and other AI laws may apply","AI inventory impact risk human oversight and audit","AI Governance and Legal","NOT_APPLICABLE_AI_DISABLED"
NIST CSF,"2.0","Cybersecurity risk outcome framework","Global operating risk profile","nist-csf-2-crosswalk.csv; documents 33-38","Govern Identify Protect Detect Respond Recover operating structure","Outcomes require selected controls and evidence; not a certification","Current and target profile evidence and improvement plan","CISO and Enterprise Risk","APPLICABLE_REFERENCE"
NIST SP 800-53,"Rev.5 release 5.2.0","Security and privacy control catalog","Select/tailor for government-grade baseline and contracts","security-control-matrix.csv; documents 34-38","Broad control catalog with privacy and supply chain","Not every control is automatically applicable; US federal use may impose specific baselines","Tailoring rationale and control assessment","CISO and Contract Authority","SELECTED_TAILORED_REFERENCE"
NIST SP 800-57,"Part 1 Rev.5; Part 2 Rev.1; Part 3 Rev.1 current finals","Cryptographic key-management guidance","Key hierarchy lifecycle and cryptographic services","Document 35; SEC-KEY","Key lifecycle and organizational practice","Draft Rev.6 is not the production baseline until finalized and reviewed","Key policy inventory rotation revocation and recovery evidence","Cryptographic Authority","APPLICABLE_GUIDANCE"
NIST SP 800-61,"Rev.3 2025","Incident-response CSF community profile","Incident risk management and CSIRT","Document 36; SEC-RSP","Integrates incident response across CSF 2.0","Does not determine local notification law","Incident profile exercises and improvement evidence","CSIRT and CISO","APPLICABLE_GUIDANCE"
NIST SP 800-63,"Revision 4 suite final 2025","Digital identity guidelines","Risk-based identity proofing authentication federation and lifecycle","Document 34; SEC-IAM","Assurance and authenticator guidance","VAT-MSA is not claiming US federal conformance; selection must consider local identity/legal/accessibility needs","Assurance selection conformance and lifecycle evidence","Identity Authority","APPLICABLE_GUIDANCE"
NIST SP 800-161,"Rev.1 update 1 through 2024","Cybersecurity supply-chain risk guidance","ICT suppliers dependencies and services","Documents 36 and 38; SEC-SUP","Multilevel supply-chain governance","Contract and sector requirements may be additional","C-SCRM strategy supplier risk and monitoring","Supplier Risk","APPLICABLE_GUIDANCE"
NIST SP 800-171,"Rev.3 2024","CUI protection requirements for nonfederal systems","Only where a US federal agreement places CUI in VAT-MSA scope","USA profile and tailored control set","Contract-specific CUI requirements","Do not claim applicability to ordinary US deployments","Contract scope CUI boundary assessment and 800-171A evidence","US Contract and CISO","CONDITIONAL_NOT_CURRENTLY_IN_SCOPE"
NIST SP 800-207 and 800-207A,"2020 and 2023","Zero-trust architecture guidance","Global identity resource workload and multi-cloud access","Document 34; SEC-IAM SEC-PAM SEC-AUTH SEC-NET","Resource-focused explicit authorization and cloud-native workload identity","Zero trust is an architecture journey not a product or certification","Zero-trust design decision and enforcement tests","Security Architecture","APPLICABLE_GUIDANCE"
NIST SP 800-218,"SSDF 1.1 2022","Secure software development framework","All VAT-MSA software delivery","Document 38; SEC-SUP and SEC-TST","Secure development practices and supplier communication","Requires project-specific implementation and evidence","SSDF practice map pipeline evidence SBOM and provenance","DevSecOps and AppSec","APPLICABLE_GUIDANCE"
OWASP ASVS,"5.0.0 2025","Verifiable application security requirements","Web applications APIs and relied-on technical controls","Documents 35 and 38; SEC-APP and SEC-TST","Testable application baseline","Pin exact requirement identifiers in implementation traceability; no claim of complete coverage without evidence","ASVS requirement/test matrix and independent verification","Application Security","APPLICABLE_BASELINE"
OWASP Top 10,"2025","Application risk awareness document","Threat awareness and training","Documents 35 and 38","Current high-level risk taxonomy","Not a complete application-security standard; use ASVS for verification","Threat mapping training and ASVS coverage","Application Security","APPLICABLE_AWARENESS"
OWASP API Security Top 10,"2023","API risk awareness document","Public internal partner and government APIs","Document 35; SEC-API","API-specific object property function resource and inventory risks","Awareness taxonomy does not replace contracts and complete testing","API risk and test mapping","API Security","APPLICABLE_AWARENESS"
PCI DSS,"4.0.1 2024 current in PCI SSC library","Payment-account data security standard","Only when VAT-MSA stores processes transmits cardholder data or can affect its security","Document 37; SEC-REG-003 and future payment architecture","Unique cardholder-data environment obligations","Payment disabled; provider compliance does not automatically remove VAT-MSA scope; no certification claim","QSA-approved scope segmentation and validation evidence","Payment Security Legal and Finance","CONDITIONAL_SCOPE_UNDETERMINED"
GDPR,"Regulation EU 2016/679 current official text","EU privacy regulation","Territorial material and role applicability assessment","Document 37; SEC-PRV","Binding EU/EEA privacy obligations where applicable","Not every deployment or processing has identical duties; national law and exemptions matter","Legal opinion ROPA DPIA rights security breach and transfer evidence","EU Legal and Privacy","CONDITIONAL_BY_DEPLOYMENT"
NIS2,"Directive EU 2022/2555 and national transposition","EU cybersecurity directive","Covered entity/service/sector/size/designation under applicable Member State law","Document 37; governance supply chain incident continuity controls","Governance risk management reporting and supervision where applicable","Directive is not ISO; national transposition and entity classification control duties","Legal applicability national-law mapping and incident evidence","EU Legal CISO and Management Body","CONDITIONAL_BY_ENTITY_AND_MEMBER_STATE"
SOC 2,"Current AICPA Trust Services Criteria and engagement terms","Independent assurance report framework","Commercial/customer assurance decision","Documents 33 and 38 control/evidence model","Third-party report over selected criteria and period","Not a certification; scope period and opinion matter","Readiness assessment sustained operating evidence and auditor report","Executive Legal and CISO","OPTIONAL_NOT_ATTESTED"
Namibia privacy and cybersecurity law,"Legislative and authoritative status must be reverified before each gate","Country legal and regulatory requirements","Namibia deployment and processing","Document 37; security-profiles/NAM; country readiness","Local law government NamRA ITAS and sector duties","Bills and policy statements are not enacted law; no assumption of final obligations","Gazetted sources local legal opinion regulator and NamRA approvals","Namibia Legal NamRA Privacy and CISO","REQUIRES_NAMIBIAN_CONFIRMATION"
NamRA and ITAS security requirements,"Official contracts and interface specifications not yet confirmed","Government tax authority and integration requirements","Any live NamRA or ITAS integration","Documents 34-37 and country pack","Identity interface message evidence and operating obligations","Public website behavior is not a machine contract","Signed contract sandbox conformance certificates contacts and acceptance","NamRA ITAS Integration and CISO","LIVE_INTEGRATION_DISABLED"
